etd_code,title,department,keywords,abstract
etd_362,"""WE'D ALWAYS RETURN TO THIS CENTER:"" UNDERSTANDING URBAN SPACE AS A DAKOTA PLACE IN MNI SOTA MAKOCE",Geography,,"This thesis intends to bring to popular consciousness the historical and ongoing injustices committed against Indigenous peoples by sharing the knowledges and experiences of a number of Dakota people in Minnesota. Part landscape analysis, part ethnography, and by most substantially relying on narrative and lengthy excerpts from interviews, I challenge the dominant notion that Minnesota is a non-Native space. Rather, Mni Sota Makoce, the land where the waters reflect the sky, with a place called Bdote at its center, forms the traditional territory of the Dakota Oyate, the Dakota Nation. More specifically, this thesis tells a story about Dakota peoples' struggle to maintain and assert their relationships to urban public spaces in the Twin Cities Metropolitan Region as indisputably Dakota places."
etd_210,"""We're all Horacians"": Listening to international students at an American liberal arts college",Cultural Foundations of Education,"Internationalization of Higher Education, International Students, Liberal Arts Colleges","The current intensifying climate of internationalized higher education has led to feverishly increased recruitment of international students in and beyond the United States. Amidst competition for this student population, the complexity of the international student experience, the voices of internationals, and the focus on individuals' lives are of lesser consequence than mapping global flows and tracking aggregate trends through statistical measures and meta-level reporting. As a result, international students in the twenty-first century are often commodified, homogenized, and Othered in the scholarships to which they are a subject and on the campuses in which they are enrolled. However, I contend - and show in this dissertation - that these students are also powerful commentators on their own lives who share invaluable insights about international study, the situatedness of globally mobile persons navigating transnational social fields, and the ways in which international students are agential actors within the globalized system of higher education.In this qualitative case study dissertation, I investigate salient dimensions of internationals' lives at Horace College, a Midwestern liberal arts college, by mapping and analyzing the self-reported stories and the perceptions of my informants. Based on nine months of fieldwork, I explore the particular contours of internationalization, international student inclusion, and diversity within the social justice legacy of and liberal arts mission at Horace College. I also give attention to how international students and other participants perceive the moniker ""Horacian"" and the ways in which this label has implications for expectations regarding international student ""adjustment"" and relationships between domestic and international peers on campus. Finally, I investigate meanings internationals ascribe to the term ""international student"" as well as the transnational ties to family, friends, and home countries most salient to these students' experience at and beyond Horace."
wp_etd_36,"""We're Still Here!"": The Rhetorical Education of the Prince Edward County Free School Association, 1963-1964",Writing Program,"African American, rhetoric, Virginia, writing",">""We're Still Here!"": The Rhetorical Education of the Prince Edward County Free School Association, 1963-1964, was directed by Lois Agnew. In 1954, the Prince Edward County Board of Supervisors voted to withhold funding to public schools in reaction to the Brown vs. Board of Education ruling. Public schools remained closed for five years in this county. The White community created and sustained a private segregation academy. The Black community worked to provide a variety of programs to keep students engaged. In 1963, the Kennedy Administration took note of the Black community's plight. Black community leaders and members of the Kennedy Administration worked to establish the Free School Association, a one-year temporary solution to the school closure crisis. The Free School made plain its intention to provide students with the skills they believed necessary for becoming active citizens despite the obstructions placed upon them by the White community.     Through archival research and interviews, this dissertation examines the Free School's reading, writing, and speaking curriculum. I argue for an understanding of the curriculum as a blend of a traditional skills-based approach to writing coupled with a commitment to honor the communities of the students. The presentation of this history complicates our notions about rhetorical education, citizenship, and race"
ant_etd_96,"""Women With No One"": Community and Christianity in a Secular South Indian Homeless Shelter",Anthropology,"Ethics, Morality, Pluralism, Rehabilitation, Religion, Tamil Nadu","This dissertation examines daily life and social service practices in a secular homeless shelter for women in Tamil Nadu, south India. The residents of the shelter have diverse backgrounds but local staff members and volunteers describe them collectively as ""women with no one"": unwed mothers, orphans, widows, women abandoned or abused by husbands and lovers, former sex workers, prisoners' wives, and women deemed mentally or physically unfit for marriage. Daily negotiations of belonging take place among this transient and diverse group of marginalized women and equally diverse and transnational care providers. The closed shelter campus provides an opportunity to query the everyday experience of secularism and pluralism. Shelter board members emphasize these concepts as guiding principles of the institution. Indeed, they are touted in many settings as a necessary and laudable framework for democratic life in globalized and increasingly diverse populations. But how do individuals and communities, in everyday life and interactions, understand and engage with such abstract ideals?Ethnographic research, conducted between August 2008 and August 2009, revealed important insights regarding the ideals shaping the secular goals of the shelter, namely women's social rehabilitation. First, the definition of secularism cannot be assumed and is not universal. Inline with commonsense equations of secularism and pluralism in India, the secular goals of the shelter involved passionate displays of religious conviction, continuous ethical deliberation, and reflection on cultural ideals of womanhood and family. Secularism, in other words, was a religious, cultural, and gendered idea and practice. Second, just as there were many secularisms, many Christianities were embodied and articulated within the shelter. The institution depended on various local and international Christian communities for donations of time and money. They each had different understandings of the relationship between Christianity and women's social rehabilitation. Third, cultural ideals are fragile. The social stigma faced by women living outside of patriarchal family structures and the forced intimacy of women with diverse backgrounds living together on a closed campus emphasized this fact. Faced with the fragility of social and cultural ideals, women at the shelter took great risks to forge new terms of belonging, community, and womanhood."
etd_112,"""You Missed the Exam!"" A Discourse with College Students with Learning Disabilities on their Experiences with Self-Determination, Self-Advocacy, and Stigma in Secondary and Postsecondary Education",Teaching and Leadership,"Disability, Self-Advocacy, Self-Determination, Stigma","The purpose of this study was to learn about the participants' academic and social experiences in high school and college as students with a learning disability. In particular, this study focused on the self-determination of college students with learning disabilities, how they understand the concept of self-advocacy, and how they utilize self-advocacy skills in educational settings. Eleven college students with learning disabilities participated in one-on-one in-depth interviews at a university in the Northeastern United States. The data was informed by Carol Dweck's theoretical work on motivation and intelligence and Erving Goffman's stigma theory. The results of this study provide insight into how students with learning disabilities navigate college, particularly around their views of motivation and self-determination, which related to their belief in an ""incremental"" view of intelligence that focuses on effort, not native ability, leading to success. Contrary to subscribing to the latter ""entity"" of view of intelligence, the students maintained that with effort, hard work, and perseverance, they can be successful academically and act as strong self-advocates. Most of the participants identified their parents or other close family members as vital to their understanding of and ability to self-advocate, which casts a strong light on the influence of familial support in students' development of self-advocacy skills. Students reflected that stigmatization was often attached to the special education high school environment, but it could also occur at the college setting, particularly when students utilized disability accommodations during exams. With its focus on self-determination, self-advocacy, and stigma, this study provides rich and interesting insight into the educational lives of eleven students with learning disabilities and the struggles and successes they faced as learners pursuing a common goal of completing their postsecondary education."
wp_etd_35,(re)Constructing a Landmark: A Rhetorical Analysis of Brown v Board of Education at Fifty,Writing Program,"Brown v Board, epideictic, public memory, rhetoric","This dissertation examines the landmark Brown v. Board of Education case on the occasion of its fiftieth anniversary with emphasis on its civic and social rhetorical functions. The analysis focuses on the two week period leading up to the fiftieth anniversary and the dedication of the Brown v Board of Education National Historic Site in Topeka. Data was gathered from various web sites related to the National Historic Site and the events in Topeka on the weekend it was dedicated, and from database records of national and international news sources. These materials were analyzed in three categories beginning with the Site itself and moving outward from Topeka to the national media response. The author argues that Brown functions in two ways that rival its function as law: first, as a tool of statecraft, a symbolic representation of America's highest ideals around which community is built through epideictic performances; and second as a dialectic, a proposition around which there continues to be an asynchronous conversation on how to achieve, or continue to move toward, the promise of Brown. Understanding the reconstruction of Brown at its fiftieth anniversary and the continued need for rhetorical efforts to bring about its promises underscores the value of studying judicial rhetoric from a rhetorical perspective, both to understand its civic and social function and to recognize the limits of law to achieve social change."
etd_130,"`ROAMING IN THE GARDEN OF FREEDOM:' CONSTRUCTIONS OF U.S. IDEOLOGY, IDENTITY, AND THE PAST IN TELEVISION NEWS'S ANNIVERSARY COVERAGE ABOUT THE BERLIN WALL",Mass Communications,"Anniversary journalism, Berlin Wall, Collective memory, Television news, Visual culture, Visual studies","This study employs a multimodal close reading to examine and compare how NBC's Nightly News and various primetime CNN news shows construct the story of the Berlin Wall's opening from 1990 through 2009. It does so first by examining the networks' 1989 coverage and assessing the themes and ideologies circulated when the Berlin Wall's opening was breaking news. These themes and ideologies are used as a baseline to assess anniversary coverage that aired from 1990 through 2009. In the process of this close reading, special attention is paid to silences and omissions amid itin images and spoken discourses; the circulation of World War II and Holocaust-related discourses; and the influence of hypermediacy and liveness on the programming. The results show that the coverage coheres into two distinct typologies: anniversary-as-process and anniversary-as-spectacle, two new concepts introduced by this dissertation. The implications for anniversary journalism, public memory of the Berlin Wall and collective memory of World War II are discussed."
etd_650,“Do You Know What It Means To Miss New Orleans?” The use of popular music after Hurricane Katrina,Mass Communications,"Coping, Disaster, Music, Popular Culture, Uses and Gratifications","This single-case study explores the use of popular music in response to the destruction of New Orleans by Hurricane Katrina in August, 2005.  Using research in sociology of disaster and uses and gratifications theory in mass communication, data collected included original music written in response to the hurricane, major benefit concerts that aired in the wake, and re-appropriated music that developed new meaning when used in conjunction to the case.  Analysis yielded that popular music was used to raise awareness, raise funds, and express emotion following the disaster. Common themes throughout include the impact of genre on how this was accomplished and the messages it yielded, the power of collective effervescence, and the importance of space and place when dealing with tragedy through music."
etd_486,"“Karbala Here We Come!”: Ritual, Space and Identity-Making in a Trinidadian Sh??? Community",Religion,"Anthropology of Religion, Caribbean, Islam, Ritual, Shi'ism, Trinidad","The Imam-e-Zamana Mission (IZM) is a small Twelver Sh??? Muslim community based in Trinidad. This community is unique in that it administers the only Sh??? mosque on an island that has the highest concentration of mosques in the Western Hemisphere. Another interesting feature of this community is that the overwhelming majority of its elders are “double” converts, given that they journeyed from Christianity to Sunn? Islam and later to Sh??? Islam. The historical trajectory of this community, along with its distinct status within the polyethnic Trinidadian polity, serve as fascinating foundations for further inquiry.The most important event on this community’s calendar is undoubtedly ??sh?r?? or the tenth day of the Islamic month of Muharram, which marks the martyrdom of the third Sh??? Imam ?usayn ibn ?Al? ibn Ab? ??lib, grandson of the Prophet Muhammad. During the first ten days of Muharram, Sh??? Muslims the world over evoke the tragedy that befell Imam ?usayn and his small band of followers over fourteen centuries ago on the plains of Karbala. Muslims memorialize Karbala through a series of ritual observances that vary in different regional and cultural contexts.Based on fieldwork conducted in the latter half of 2015 and January 2016, this thesis will focus on the role of IZM’s Muharram observances in defining individual and collective identities. I engage with the work of several spatial and ritual theorists of religion to explore the complex interconnections between ritual, space and identity. I argue that the embodied and emplaced rituals performed in honor of Imam ?usayn provide IZM members with a space for the negotiation and articulation of self and community."
etd_555,“Mustn’t See TV?”: A Case Study of NBC’s 1983-84 Television Season,Mass Communications,"NBC, Television","This research project uses the case study method to explore NBC’s 1983-84 television season, dubbed “the September Train Wreck of 1983.” Examining trade publication articles, mainstream press, and the programs themselves, this case study applies a “Network Executive Auteur” theory to the programming strategies of Grant Tinker, NBC Chairman and CEO, and Brandon Tartikoff, President of NBC Entertainment. Conventional wisdom at the time portrayed Tinker and Tartikoff’s network decisions as desperate and unfocused. However, a closer look suggests that Tinker and Tartikoff essentially invented a hybrid of “highbrow/lowbrow/middlebrow” programming to combat the audience fragmentation brought on by the penetration of cable television."
etd_600,“My Training Wheels are Off:” How First Generation College Students Made Meaning of the Influence of their College Access and Support Programs,Higher Education,"college access, college access programs, college experience, college success programs, First generation college students, higher education","This research explored how 47 first generation college students at a private university in the Northeast used non-profit and government-funded college access and support programs to make meaning of their college-going journeys.  The participants used college access programs to prepare themselves for, gain access to, and persist at a selective postsecondary institution directly after high school.  This research asked what skills and knowledge do first generation college students learn through their college access and support programs?  How do first generation college students use the skills and knowledge they obtained through their college access and support programs to help navigate their college-going journeys?  Using the theoretical frameworks of Communities of Cultural Wealth (Yosso, 2005, 2006) and critical theory (Kincheloe & McLaren, 2002), I analyzed the participants’ counterstories and uncovered how first generation college students used college access and success programs to navigate a historically classed and raced education system.  The findings centered the students’ stories, showed how college access programs became a form of capital within themselves for first generation college students, and provided students with the resources they needed to matriculate and persist in college.  I then critically examined whether or not college access programs contributed to closing the educational gap in the United States and educational reform."
etd_585,"“Que(e)rying Religious Activism: Culture, Identity, and the Politics of Family in Unitarian Universalist Churches”",Sociology,"Discourse, Family Values, Micro-mobilization, Organizational Culture, Queer Theory/Methods, Unitarian Universalism","Despite the longstanding debate about religion’s role in social movements, conservative religious opposition to lesbian, gay, bisexual, transgender, and queer (LGBTQ) social movement in the United States has limited sociological research in this area to questions of individual identity or the oppositional strategies used by religious and LGTBQ groups to sway public opinion and policy decisions.  This dissertation addresses the less well-understood dynamics of mainstream religious group participation in LGBTQ social movement.  Through frameworks of social movement theory, organizational culture, and queer theory, it explores the organizational elements shaping congregants’ practices in two Unitarian Universalist (UU) churches considered “Welcoming Congregations”.  Analysis of data generated from participant observations, in-depth interviews, and church and denominational texts highlight how structures of church governance, materiality, and history intersected with embedded discourses of gender and sexuality to promote “closeting” and “covering” repertoires of discourse and action on behalf of marriage equality. Findings underscore the value of continued research on the specific ways in which specific elements of organizational culture can shape local group discourses and practices at varying depths, degrees, and dimensions of organizational embeddedness."
etd_468,"“Texts From Hillary:” Political Meta-meming, Likeability, and Social Presence",Media Studies,"femininity/competency bind, Hillary Clinton, Meta-meme, political communication, social media, social presence","In the age of viral social sharing, memes have become an increasingly important way for the public to engage in political debate and discussion. Through social media, politicians have an opportunity to participate in meme sharing with their followers, and to gain valuable likeability points with them by doing so. Hillary Clinton is one such politician, who created a meta-meme by participating in a viral meme about her, and was able to have some control over the narrative about her image as a result. The present research examined the uses of and responses to political meta-meming through analysis of both Hillary Clinton’s meta-memes and the reactions to them in the news media as shared on social media. This thesis used a theoretical foundation of social presence theory, which in recent years has come to be used in a social media setting and can predict likeability based on effective participation in social media norms. Analysis was conducted through the lens of the femininity/competency bind to center an understanding of Hillary Clinton’s image."
rla_etd_20,"A ""Responsibility to Speak Out"": Perspectives on Writing from Black African-Born Male Youth with Limited or Disrupted Formal Education",Reading and Language Arts,"Theory, Adolescents, Refugees, Secondary Schools, SIFEs, Writing","This ethnographic case study uses life history and qualitative methodologies to offer biographical profiles that highlight perspectives on writing of eight Black African- born male youth with limited and disrupted formal education enrolled at a secondary school in northeastern United States. Participants from Liberia, Sudan, and Somalia relocated to the U. S. through refugee services between 2003 and 2006. At the time of the study, they were enrolled in mainstream English classrooms with American-born peers. Students with interrupted and limited formal education (SIFEs) like these young men are a growing yet understudied demographic in urban schools (DeCapua & Marshall, 2010; Fu, 2007).Through the use of writing activity genre research (Russell, 2009), New Literacies Studies (Gee, 2000; New London Group, 1996), and postcolonial theory (Said, 1978; Spivak, 1998), the study illuminates participants' perspectives on writing and makes suggestions for teaching adolescent youth, especially immigrant populations (Campano, 2007; Gutiérrez, 2008). The findings suggest that youth like these young men need help with navigating double binds (Engeström, 2009; Russell, 1997) experienced between home and school and benefit from stretch, skill, drill, practice, play, and reflect approaches to build writing proficiency. Participants desired more authentic writing opportunities in school where they could communicate with purposes and audiences that mattered to them. Participants wrote out of school, sought to learn genres that could benefit their families' lives, and wished for more inquiry-based writing instruction in school. Their reports suggest history and global realities of the 21st century should be better linked to pedagogy and that teachers need a better understanding of the complexities of race and how languages privilege and inhibit marginalized youth."
